date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:44	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-628f381a-2fbf4a7a04f99431;gz%22	https://farmrioquizz.site/robots.txt		(from )
20:03:44	17172/17172	---M-Z	200	added ('OK')	text/html	etag:%224314-669417a5-cfc44a4394665983;gz%22	https://farmrioquizz.site/quizz/	D:/quiz-responda/farmrioquizz.site/quizz/index.html	(from )
20:03:45	8370/8370	---MCZ	200	added ('OK')	application/javascript	etag:W/%2220b2-190b2b0da08%22	https://cdn.utmify.com.br/scripts/utms/latest.js	D:/quiz-responda/cdn.utmify.com.br/scripts/utms/latest.js	(from https://farmrioquizz.site/quizz/)
20:03:45	228811/228811	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2014%20Jul%202024%2023:03:45%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/quiz-responda/connect.facebook.net/en_US/fbevents.js	(from https://farmrioquizz.site/quizz/)
20:03:46	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-6694174c-c594f188b7392672;gz%22	https://farmrioquizz.site/quizz/css/bootstrap.min.css	D:/quiz-responda/farmrioquizz.site/quizz/css/bootstrap.min.css	(from https://farmrioquizz.site/quizz/)
20:03:46	8382/8382	---M-Z	200	added ('OK')	text/css	etag:%2220be-6694174c-dfb5bd0d9e776c88;gz%22	https://farmrioquizz.site/quizz/css/style.css	D:/quiz-responda/farmrioquizz.site/quizz/css/style.css	(from https://farmrioquizz.site/quizz/)
20:03:47	102581/102581	---M-Z	200	added ('OK')	text/css	etag:%22190b5-6694174b-cb81039f2bc023e;gz%22	https://farmrioquizz.site/quizz/css/all.min.css	D:/quiz-responda/farmrioquizz.site/quizz/css/all.min.css	(from https://farmrioquizz.site/quizz/)
20:03:47	87995/87995	---M-Z	200	added ('OK')	application/x-javascript	etag:%22157bb-66941750-c1c1013c80712f1a;gz%22	https://farmrioquizz.site/quizz/js/jquery-3.7.1.min.js	D:/quiz-responda/farmrioquizz.site/quizz/js/jquery-3.7.1.min.js	(from https://farmrioquizz.site/quizz/)
20:03:47	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-66941749-6f545d0c52f8a5db;gz%22	https://farmrioquizz.site/quizz/favicon.ico	D:/quiz-responda/farmrioquizz.site/quizz/favicon.ico	(from https://farmrioquizz.site/quizz/)
20:03:47	80721/80721	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213b51-6694174f-275d2b88aea0d215;gz%22	https://farmrioquizz.site/quizz/js/bootstrap.bundle.min.js	D:/quiz-responda/farmrioquizz.site/quizz/js/bootstrap.bundle.min.js	(from https://farmrioquizz.site/quizz/)
20:03:48	12880/12880	---M--	200	added ('OK')	image/png	etag:%223250-6694174f-bab79c3874b78eb;;;%22	https://farmrioquizz.site/quizz/images/logo-farm-rio-vertical-1024.png	D:/quiz-responda/farmrioquizz.site/quizz/images/logo-farm-rio-vertical-1024.png	(from https://farmrioquizz.site/quizz/)
20:03:49	1883350/1883350	---M--	200	added ('OK')	image/png	etag:%221cbcd6-6694174f-a259aa3284cb1361;;;%22	https://farmrioquizz.site/quizz/images/i1.png	D:/quiz-responda/farmrioquizz.site/quizz/images/i1.png	(from https://farmrioquizz.site/quizz/)
20:03:50	1682484/1682484	---M--	200	added ('OK')	image/png	etag:%2219ac34-6694174e-4d57ac8e25d9bcb0;;;%22	https://farmrioquizz.site/quizz/images/farmrio-image1.png	D:/quiz-responda/farmrioquizz.site/quizz/images/farmrio-image1.png	(from https://farmrioquizz.site/quizz/)
20:03:50	1862121/1862121	---M--	200	added ('OK')	image/png	etag:%221c69e9-6694174e-22eb7db7ec85264a;;;%22	https://farmrioquizz.site/quizz/images/farmrio-image4.png	D:/quiz-responda/farmrioquizz.site/quizz/images/farmrio-image4.png	(from https://farmrioquizz.site/quizz/)
20:03:50	188051/188051	---M--	200	added ('OK')	image/png	etag:%222de93-6694174f-5eaeae9c7b8287f4;;;%22	https://farmrioquizz.site/quizz/images/presente.png	D:/quiz-responda/farmrioquizz.site/quizz/images/presente.png	(from https://farmrioquizz.site/quizz/)
